"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 04 19:45:15 GMT 2024","Sun Feb 04 19:45:45 GMT 2024","29277","","Verify User is able to install checklist app","","Verify User is able to install checklist app","Verify User is able to install checklist app","Verify User is able to install checklist app",""
"passed","Sun Feb 04 19:44:17 GMT 2024","Sun Feb 04 19:44:50 GMT 2024","33530","","Verify checklist functionalities working as expected","","Verify checklist functionalities working as expected","Verify checklist functionalities working as expected","Verify checklist functionalities working as expected",""
